origin,destination,volume
0,1,104.73796703519622
0,2,95.12175642827508
0,3,475.8221305077816
0,4,199.67037241877384
0,5,308.9433256352372
0,6,508.26706306664846
0,7,795.7731189900213
0,8,523.5407883281225
0,9,1248.0471897437112
0,10,505.6238307958095
0,11,192.51764915006007
0,12,475.16342636631697
0,13,291.2772476885841
0,14,499.60816972303155
0,15,511.4569879493279
0,16,392.5645477351234
0,17,99.66515324193335
0,18,309.12755491832394
0,19,299.8792201196017
0,20,103.33763499275273
0,21,399.40759362220064
0,22,312.91352820636587
0,23,99.67826190381382
1,0,95.41235046317871
1,2,98.46617868346594
1,3,192.62317432669894
1,4,99.92031581388673
1,5,384.11102597572733
1,6,197.10595725218718
1,7,410.41987245071255
1,8,198.33431379386553
1,9,606.6086485695869
1,10,198.68681715452607
1,11,104.88328188416686
1,12,288.31706473802626
1,13,102.26416640141835
1,14,101.24501757154182
1,15,415.52203912923414
1,16,199.25253128850892
1,18,102.17077329345894
1,19,104.57526076226782
1,21,97.30871712001505
2,0,98.42873073492405
2,1,97.41345282249637
2,3,192.10539802158982
2,4,99.00746411806402
2,5,286.324190906944
2,6,98.80156909210656
2,7,209.67446619295706
2,8,96.89520936654773
2,9,307.6321214855911
2,10,292.34012038003823
2,11,191.1103169954697
2,12,98.54970013708322
2,13,95.89654577724134
2,14,96.02557152540521
2,15,197.42883543357613
2,16,96.93844830399118
2,21,99.05182045782308
2,22,95.59910735080321
3,0,480.3038802752331
3,1,196.40523413475378
3,2,209.24951316908857
3,4,509.2098434311825
3,5,391.24008732718954
3,6,410.4430647247849
3,7,708.0917016549259
3,8,674.5737991212236
3,9,1204.1901096131996
3,10,1407.9232489231242
3,11,621.1114772772751
3,12,575.4492109538717
3,13,507.06124805135255
3,14,500.0281429979797
3,15,835.8725560258522
3,16,522.4313496193673
3,17,97.5091052902512
3,18,204.62069010621437
3,19,291.57394170758954
3,20,205.7052797876838
3,21,400.05671196830974
3,22,481.5764873270843
3,23,201.10015189414017
4,0,190.8291795079792
4,1,104.23056694279236
4,2,98.12942489929478
4,3,523.8544809167427
4,5,202.14544254532493
4,6,203.7659762735768
4,7,486.5258227822982
4,8,802.3444977446442
4,9,983.3180993288813
4,10,504.43797019634593
4,11,197.30722533428127
4,12,190.95674747458654
4,13,104.27822259832173
4,14,199.86275577884282
4,15,510.9462836703622
4,16,207.57070295042263
4,18,101.25698945004248
4,19,102.6021284827721
4,20,97.56159055360499
4,21,190.3652737984973
4,22,103.72883564319709
5,0,300.4944374465565
5,1,415.18603015925703
5,2,309.40611771197786
5,3,388.945360331621
5,4,206.22615598459782
5,6,410.46179867699175
5,7,785.878929358932
5,8,414.7502563079687
5,9,792.4544908406336
5,10,418.21723486870314
5,11,201.45938238638075
5,12,201.8095402111498
5,13,99.8405331722301
5,14,206.84837566290884
5,15,872.1107683734537
5,16,490.99652864945756
5,17,96.05054299601557
5,18,196.99899502180656
5,19,285.5382803974041
5,20,102.03473555171136
5,21,207.59068225744164
5,22,99.44967825372059
5,23,103.17612925585891
6,0,475.9010869857459
6,1,200.58495556303018
6,2,101.96985861428493
6,3,411.4982926784633
6,4,209.52895750774334
6,5,403.4026814240284
6,7,1026.1688663019365
6,8,580.1235810552823
6,9,1820.9122871260106
6,10,502.14760723055883
6,11,718.8933781824231
6,12,382.74293818919745
6,13,205.08193386844488
6,14,481.3282274062853
6,15,1442.9593495779661
6,16,1041.7186356875616
6,17,192.49135612785452
6,18,398.4660902739406
6,19,510.56982303013166
6,20,201.08355676091122
6,21,519.9265951431488
6,22,209.78269379188498
6,23,97.1238932598675
7,0,804.6732381017229
7,1,398.6923848018864
7,2,204.6218197080515
7,3,687.0960399471919
7,4,484.6846579829722
7,5,789.5328261710748
7,6,954.8075397649909
7,8,828.154037252539
7,9,1614.1957049495004
7,10,828.2926358107628
7,11,604.5111320952789
7,12,622.9674994435319
7,13,407.1954530216415
7,14,578.235818183258
7,15,2304.9479714723198
7,16,1377.9194089105895
7,17,302.72181837392486
7,18,669.2120541267316
7,19,859.1681033610976
7,20,408.4253292739975
7,21,483.89630277721176
7,22,292.2587614186111
7,23,194.59141729239505
8,0,481.31131161079884
8,1,209.58743027607554
8,2,104.19187376614624
8,3,687.362487686896
8,4,775.0792606621625
8,5,381.33026524518806
8,6,619.8171221860015
8,7,828.0161001721663
8,9,2662.2931805035546
8,10,1404.5308656974912
8,11,617.636924669396
8,12,615.2953961370737
8,13,608.2466662271302
8,14,912.5168562808987
8,15,1337.2834182127006
8,16,871.204261583247
8,17,204.74961167223364
8,18,408.3223323877372
8,19,590.5098657311594
8,20,310.8037458773816
8,21,687.2920769360854
8,22,500.55592688684294
8,23,202.30859472727963
9,0,1362.8494955352267
9,1,605.128415971414
9,2,300.01246033854324
9,3,1149.6916336668137
9,4,975.7465838257766
9,5,828.8561327565895
9,6,1970.677367416394
9,7,1622.3098632971073
9,8,2887.1926642698477
9,10,3802.7187034754893
9,11,1905.6238610907558
9,12,1807.7161327008957
9,13,2173.4610288958397
9,14,3954.8330925038226
9,15,4535.110534462155
9,16,3880.954195458112
9,17,712.9830544687973
9,18,1737.5520343389246
9,19,2418.568835829926
9,20,1227.2819670503427
9,21,2474.785703442114
9,22,1832.234299984466
9,23,767.9536200716753
10,0,499.7191112866581
10,1,207.76020612624544
10,2,288.066180283271
10,3,1480.2534475522348
10,4,475.54893379567085
10,5,406.3194112673235
10,6,498.40063954420344
10,7,778.1429874830176
10,8,1438.7720713898507
10,9,3923.8402716683086
10,11,1385.5343074903528
10,12,956.5191322608978
10,13,1608.9200743188082
10,14,1373.1604069919126
10,15,1424.1344179807504
10,16,1047.0959596460898
10,17,102.50020880860697
10,18,400.6843563170817
10,19,629.7147424662273
10,20,410.01293376715057
10,21,1141.6011318420688
10,22,1327.6663526255313
10,23,588.7274488236137
11,0,202.06817811069266
11,1,97.17424899787895
11,2,193.30609528863428
11,3,607.8917271831656
11,4,203.518304260998
11,5,201.60994166328967
11,6,697.6754358268189
11,7,616.6239388901788
11,8,628.5526835892261
11,9,1965.7261571787635
11,10,1399.9301588467424
11,12,1339.3891793522048
11,13,677.3666186789138
11,14,700.7975267474
11,15,669.2408785220453
11,16,589.204033558031
11,17,191.65928363909316
11,18,310.5694903756661
11,19,384.3545980663544
11,20,289.3175687449069
11,21,669.9541708923709
11,22,686.9729291099165
11,23,481.7257043412034
12,0,522.5789423652715
12,1,309.22901037205315
12,2,102.67562233155863
12,3,583.6632023411725
12,4,197.17399019226323
12,5,202.47539729481403
12,6,401.37800769654604
12,7,611.7059263873563
12,8,577.0002544489132
12,9,1812.7544322611207
12,10,957.0669572614416
12,11,1355.7780124085518
12,13,587.1847225736551
12,14,705.3571444691297
12,15,626.6550987915302
12,16,516.461052364444
12,17,95.05876650473597
12,18,311.4891817127074
12,19,582.2456610433296
12,20,575.9624595960616
12,21,1265.8867973452764
12,22,794.2583499718367
12,23,781.3766794171706
13,0,303.07713230097244
13,1,98.29579651561163
13,2,101.71519016462496
13,3,497.7773167905512
13,4,102.30154661977944
13,5,99.55353364143102
13,6,209.01778268554264
13,7,419.22004957068475
13,8,587.779887545394
13,9,2174.3367561646155
13,10,1581.295977591625
13,11,716.6776699173457
13,12,614.268165115989
13,14,1242.5118619225243
13,15,697.4530477475795
13,16,703.3405744165677
13,17,102.49938807245786
13,18,299.7188446401766
13,19,481.34988263164337
13,20,382.0107837638362
13,21,1250.4682940965604
13,22,1139.6127244179245
13,23,406.7944936347617
14,0,515.5807677418688
14,1,98.12921367389025
14,2,96.85343906139833
14,3,514.8012127700556
14,4,191.57781878817275
14,5,194.37705860622614
14,6,504.9963548809523
14,7,624.7191386275476
14,8,1021.7142054137098
14,9,3961.07147214715
14,10,1456.46875088999
14,11,718.8766503884592
14,12,674.4230455776559
14,13,1333.9832339840088
14,15,1255.3040335441601
14,16,1459.3678178882064
14,17,193.32691096509106
14,18,815.5695488202449
14,19,1115.3822428138074
14,20,766.9846036915777
14,21,2476.875850998401
14,22,1036.5967919910374
14,23,393.70040216864317
15,0,475.34155138723514
15,1,381.0307981225501
15,2,193.22974247431287
15,3,817.6966650862767
15,4,484.9207429509087
15,5,902.5710444250019
15,6,1409.9203538395313
15,7,2215.122671650715
15,8,1429.8301482210725
15,9,4286.58981134067
15,10,1464.6324202907515
15,11,700.7790675783563
15,12,594.784140632087
15,13,704.1576256959246
15,14,1205.4915116193422
15,16,2823.8626533185843
15,17,497.7209549664946
15,18,1322.1295844187364
15,19,1659.6585746612436
15,20,628.8899733742679
15,21,1235.2474515660008
15,22,490.2592086398941
15,23,306.2242206427218
16,0,407.27308011524485
16,1,207.56905857334442
16,2,101.26290894608785
16,3,500.6633038210233
16,4,203.23267372789036
16,5,479.0465441490026
16,6,1040.5354774001441
16,7,1356.0792019572223
16,8,933.099483905631
16,9,3891.473936105916
16,10,1003.4893186365134
16,11,597.0494405241195
16,12,503.0227801173635
16,13,714.674013897661
16,14,1513.2102942700863
16,15,2720.3604339254034
16,17,592.0987690875494
16,18,1710.8582284010802
16,19,1693.2429435683189
16,20,585.8474339778379
16,21,1652.3066342934442
16,22,576.1237150250661
16,23,296.7205003085954
17,0,100.26311479561743
17,3,96.37661624781398
17,5,95.86482299860934
17,6,191.38719152722817
17,7,291.5039832514868
17,8,209.06807309169264
17,9,705.7027048396976
17,10,204.03235254917598
17,11,191.24849459364555
17,12,103.52828722651837
17,13,103.1696936970234
17,14,203.53922039496587
17,15,519.6651709029467
17,16,624.3953891567907
17,18,289.20397668869634
17,19,381.79203957797245
17,20,101.86169270033083
17,21,313.692836713125
17,22,100.94364316818097
18,0,294.97762303664626
18,1,95.03887832312714
18,3,206.05296225138767
18,4,97.88239417427775
18,5,195.6872576894787
18,6,393.055216603298
18,7,666.9316206176218
18,8,382.92409360634554
18,9,1863.5511153581178
18,10,410.434066125282
18,11,295.89686323142007
18,12,303.0955555549477
18,13,293.0618962810219
18,14,764.8755144169663
18,15,1267.045152096732
18,16,1707.2075345336423
18,17,306.9572404107706
18,19,1194.3277687795633
18,20,419.1608688600952
18,21,1144.8020694134025
18,22,285.56984678546945
18,23,96.67938725372348
19,0,307.0454268976793
19,1,99.21292262599884
19,3,306.6622067620158
19,4,104.74878539252224
19,5,285.01051550511846
19,6,501.5106242661933
19,7,906.6642000832404
19,8,575.4890439163205
19,9,2465.1800559928256
19,10,626.2622874170703
19,11,511.3417847469819
19,12,628.8492934043218
19,13,500.53121313310777
19,14,1075.3964675906502
19,15,1580.6454842918345
19,16,1685.9267924353621
19,17,387.3240377485902
19,18,1182.692730057159
19,20,1142.6527683921668
19,21,2284.2450651611775
19,22,689.2239271743366
19,23,412.69852334175283
20,0,102.4269857406396
20,3,204.75437491231006
20,4,99.71607012003463
20,5,103.13821593449094
20,6,209.63446147846594
20,7,410.5980175409815
20,8,292.4485430749209
20,9,1234.2411148355854
20,10,417.8211286939579
20,11,289.2114130267239
20,12,624.9589284939209
20,13,398.4648077592076
20,14,770.7951817556265
20,15,610.7544345615862
20,16,615.4740722560412
20,17,103.82341505932611
20,18,416.0130670304235
20,19,1179.7387606980665
20,21,1803.457248618092
20,22,675.2452743093554
20,23,496.1588387414387
21,0,390.981918497087
21,1,95.66699133477834
21,2,97.61947455598894
21,3,382.3483787156253
21,4,190.8681414814992
21,5,192.68495217866902
21,6,475.8412734814276
21,7,504.3857988261131
21,8,695.3417538720211
21,9,2662.6764831041487
21,10,1060.3936907732052
21,11,720.8139579211456
21,12,1283.3220067910709
21,13,1219.2748279208226
21,14,2586.8487473941173
21,15,1189.1066947490149
21,16,1681.6178853698773
21,17,285.9638174881541
21,18,1150.028345108907
21,19,2391.8586205851825
21,20,1720.6751719474794
21,22,2104.0455060126355
21,23,1071.4066678694667
22,0,285.4512182321087
22,2,103.23731885214973
22,3,517.4288089559855
22,4,97.14416629851073
22,5,100.29387698322243
22,6,194.16803389998518
22,7,311.87913361711753
22,8,478.2295685226681
22,9,1794.4638196991518
22,10,1355.9555553028194
22,11,717.8928831834862
22,12,828.5084990808751
22,13,1080.1523205748101
22,14,1040.68984374336
22,15,486.119345978475
22,16,586.7044800172021
22,17,100.62903023808624
22,18,314.95906836838014
22,19,731.7339845220149
22,20,681.1859926360173
22,21,2163.7864529761055
22,23,707.4273401113745
23,0,100.07023376477997
23,3,207.57345640422608
23,5,97.2478525502019
23,6,102.17703232040904
23,7,198.16486246805846
23,8,190.34065944631567
23,9,760.1379425873105
23,10,613.3993553103356
23,11,498.5943063346325
23,12,665.3043166071272
23,13,380.2742319855435
23,14,410.5585449806938
23,15,307.22468955874587
23,16,287.9377517441111
23,18,100.1031619882087
23,19,405.00992864147133
23,20,498.42160634512203
23,21,1063.001932649445
