edge_tail,edge_head,length,capacity,speed,b,power
0,1,9672.166666666666,25900.20064,97,0.14974928058173798,4
0,2,6453.166666666667,23403.47319,97,0.1496242155014334,4
1,0,9656.0,25900.20064,97,0.15,4
1,5,9146.333333333334,4958.180928,97,0.13197091730748203,4
2,0,6453.166666666667,23403.47319,97,0.1496242155014334,4
2,3,6437.0,17110.52372,97,0.15,4
2,11,6437.0,23403.47319,97,0.15,4
3,2,6453.166666666667,17110.52372,97,0.1496242155014334,4
3,4,3817.1666666666665,17782.7941,97,0.12649434571890145,4
3,10,11369.666666666666,4908.82673,97,0.12739159752557974,4
4,3,3235.1666666666665,17782.7941,97,0.14925042501674307,4
4,5,9961.333333333334,4947.995469,97,0.09692979520813812,4
4,8,8063.166666666667,10000.0,97,0.1496992496744455,4
5,1,9000.833333333334,4958.180928,97,0.1341042496065179,4
5,4,10074.5,4947.995469,97,0.09584098466425132,4
5,7,3267.5,4898.587646,97,0.1477735271614384,4
6,7,4828.0,7841.81131,97,0.15,4
6,17,3219.0,23403.47319,97,0.15,4
7,5,3623.1666666666665,4898.587646,97,0.13326739960439762,4
7,6,4828.0,7841.81131,97,0.15,4
7,8,16561.833333333332,5050.193156,97,0.14575379134757627,4
7,15,9485.833333333334,5045.822583,97,0.1272476500043925,4
8,4,8047.0,10000.0,97,0.15,4
8,7,16125.333333333334,5050.193156,97,0.14969923102364807,4
8,9,5442.333333333333,13915.78842,97,0.13306792429717645,4
9,8,5280.666666666667,13915.78842,97,0.1371417750284055,4
9,10,9405.0,10000.0,97,0.12834130781499203,4
9,14,9930.833333333334,13512.00155,97,0.14584878744650498,4
9,15,8700.333333333334,4854.917717,97,0.11097850657062946,4
9,16,14022.833333333334,4993.510694,97,0.13772181085610372,4
10,3,9995.5,4908.82673,97,0.14490520734330448,4
10,9,9631.333333333332,10000.0,97,0.1253253270575206,4
10,11,12372.0,4908.82673,97,0.11707080504364693,4
10,13,7568.666666666667,4876.508287,97,0.12757200739892538,4
11,2,6437.0,23403.47319,97,0.15,4
11,10,11693.0,4908.82673,97,0.12386898144188829,4
11,12,4828.0,25900.20064,97,0.15,4
12,11,4844.166666666667,25900.20064,97,0.14949939790125577,4
12,23,7196.833333333333,5091.256152,97,0.13416317361802646,4
13,10,8797.333333333332,4876.508287,97,0.10975484995453169,4
13,14,9388.833333333334,5127.526119,97,0.12856229918520226,4
13,22,7956.666666666667,4924.790605,97,0.12135106828655215,4
14,9,9688.333333333334,13512.00155,97,0.14949939790125577,4
14,13,8968.5,5127.526119,97,0.1345877236996153,4
14,18,7204.5,14564.75315,97,0.10052050801582343,4
14,21,6913.5,9599.180565,97,0.10475157300932957,4
15,7,8629.0,5045.822583,97,0.13988295283346852,4
15,9,7213.0,4854.917717,97,0.13386247053930403,4
15,16,4738.666666666667,5229.910063,97,0.10189575126617893,4
15,17,4828.0,19679.89671,97,0.15,4
16,9,13408.5,4993.510694,97,0.1440317708915986,4
16,15,4189.0,5229.910063,97,0.11526617331105275,4
16,18,5078.166666666666,4823.950831,97,0.0950835275197742,4
17,6,3219.0,23403.47319,97,0.15,4
17,15,4828.0,19679.89671,97,0.15,4
17,19,6437.0,23403.47319,97,0.15,4
18,14,6008.166666666666,14564.75315,97,0.12053593719659353,4
18,16,4334.5,4823.950831,97,0.11139693159533971,4
18,19,7504.0,5002.607563,97,0.1286713752665245,4
19,17,6437.0,23403.47319,97,0.15,4
19,18,7681.833333333334,5002.607563,97,0.12569265149378403,4
19,20,10771.5,5059.91234,97,0.13446595181729562,4
19,21,8144.0,5075.697193,97,0.14821340864440077,4
20,19,10917.0,5059.91234,97,0.13267381148667215,4
20,21,4932.666666666666,5229.910063,97,0.0978882281389377,4
20,23,6412.333333333333,4885.357564,97,0.11293860789104329,4
21,14,6703.333333333333,9599.180565,97,0.10803580308304325,4
21,19,8548.166666666666,5075.697193,97,0.14120571662539727,4
21,20,5159.0,5229.910063,97,0.09359371971312269,4
21,22,7778.833333333333,5000.0,97,0.12412529728108328,4
22,13,7277.666666666667,4924.790605,97,0.13267301790867034,4
22,21,7859.666666666666,5000.0,97,0.12284872131981849,4
22,23,4722.5,5078.508436,97,0.10224457384859713,4
23,12,8651.833333333334,5091.256152,97,0.11160062414517154,4
23,20,6881.166666666667,4885.357564,97,0.10524378133552934,4
23,22,4172.833333333333,5078.508436,97,0.11571274513719695,4
